slug,title,year,study_type,evidence_strength,doi,path
trends-in-the-immunomodulatory-effects-of-cordyc-2020-33328984,"Trends in the Immunomodulatory Effects of Cordyceps militaris: Total Extracts, Polysaccharides and Cordycepin",2020,review_narrative,F_review_only,10.3389/fphar.2020.575704,content/research/trends-in-the-immunomodulatory-effects-of-cordyc-2020-33328984.md
anti-inflammatory-effects-of-cordycepin-a-review-2020-33090621,Anti-inflammatory effects of cordycepin: A review.,2020,review_narrative,F_review_only,10.1002/ptr.6890,content/research/anti-inflammatory-effects-of-cordycepin-a-review-2020-33090621.md
cordycepin-for-health-and-wellbeing-a-potent-bio-2020-32545666,Cordycepin for Health and Wellbeing: A Potent Bioactive Metabolite of an Entomopathogenic Cordyceps Medicinal Fungus and Its Nutraceutical and Therapeutic Potential.,2020,review_narrative,F_review_only,10.3390/molecules24122231,content/research/cordycepin-for-health-and-wellbeing-a-potent-bio-2020-32545666.md
cordyceps-polysaccharides-a-review-of-their-immu-2024-39519748,Cordyceps Polysaccharides: A Review of Their Immunomodulatory Effects.,2024,review_narrative,F_review_only,10.1089/jmf.2011.1575,content/research/cordyceps-polysaccharides-a-review-of-their-immu-2024-39519748.md
a-systematic-review-of-the-biological-effects-of-2021-34641429,A Systematic Review of the Biological Effects of Cordycepin,2021,systematic_review,F_review_only,10.3390/molecules26195886,content/research/a-systematic-review-of-the-biological-effects-of-2021-34641429.md
an-immunomodulatory-mushroom-cordyceps-militaris-2026-41432716,"An Immunomodulatory Mushroom, Cordyceps militaris, and Its Constituents: A Review of In Vitro/In Vivo Studies and Clinical Trials.",2026,animal,C_animal,10.1002/ptr.70144,content/research/an-immunomodulatory-mushroom-cordyceps-militaris-2026-41432716.md
immunomodulation-and-protective-effects-of-cordy-2024-39590481,Immunomodulation and Protective Effects of Cordyceps militaris Extract Against Candida albicans Infection in Galleria mellonella Larvae.,2024,animal,C_animal,10.1038/s41598-019-41140-1,content/research/immunomodulation-and-protective-effects-of-cordy-2024-39590481.md
current-evidence-of-ergogenic-and-post-exercise--2026-41829950,Current Evidence of Ergogenic and Post-Exercise Recovery Effects of Dietary Supplementation with Cordyceps militaris in Humans-A Narrative Review.,2026,review_narrative,F_review_only,10.3390/nu18050781,content/research/current-evidence-of-ergogenic-and-post-exercise--2026-41829950.md
cordycepin-exhibits-anti-fatigue-effect-via-acti-2022-36399798,Cordycepin exhibits anti-fatigue effect via activating TIGAR/SIRT1/PGC-1α signaling pathway.,2022,animal,C_animal,10.1016/j.bbrc.2022.11.010,content/research/cordycepin-exhibits-anti-fatigue-effect-via-acti-2022-36399798.md
beneficial-effect-of-cordyceps-militaris-on-exer-2020-33312018,Beneficial Effect of Cordyceps militaris on Exercise Performance via Promoting Cellular Energy Production.,2020,animal,C_animal,10.1080/12298093.2020.1831135,content/research/beneficial-effect-of-cordyceps-militaris-on-exer-2020-33312018.md
inhibitory-effects-of-cordycepin-3-deoxyadenosin-2007-18051324,"Inhibitory effects of cordycepin (3'-deoxyadenosine), a component of Cordyceps militaris, on human platelet aggregation induced by thapsigargin.",2007,animal,C_animal,,content/research/inhibitory-effects-of-cordycepin-3-deoxyadenosin-2007-18051324.md
cordycepin-combined-with-antioxidant-effects-imp-2025-40059099,Cordycepin combined with antioxidant effects improves fatigue caused by excessive exercise.,2025,animal,C_animal,10.1002/cbf.3903,content/research/cordycepin-combined-with-antioxidant-effects-imp-2025-40059099.md
cordyceps-militaris-reduces-oxidative-stress-and-2022-36009221,Cordyceps militaris Reduces Oxidative Stress and Regulates Immune T Cells to Inhibit Metastatic Melanoma Invasion.,2022,animal,C_animal,10.3389/fimmu.2020.00167,content/research/cordyceps-militaris-reduces-oxidative-stress-and-2022-36009221.md
protective-effects-of-cordycepin-against-d-galac-2022-35352454,Protective effects of cordycepin against d-galactose-induced aging in rats: A view from the heart.,2022,animal,C_animal,10.1111/ggi.14376,content/research/protective-effects-of-cordycepin-against-d-galac-2022-35352454.md
cordycepin-protects-renal-ischemia-reperfusion-i-2020-31951250,"Cordycepin protects renal ischemia/reperfusion injury through regulating inflammation, apoptosis, and oxidative stress.",2020,animal,C_animal,10.1093/abbs/gmz145,content/research/cordycepin-protects-renal-ischemia-reperfusion-i-2020-31951250.md
the-protective-effect-of-cordycepin-on-d-galacto-2017-28522898,The Protective Effect of Cordycepin on D-Galactosamine/Lipopolysaccharide-Induced Acute Liver Injury,2017,animal,C_animal,10.1155/2017/3946706,content/research/the-protective-effect-of-cordycepin-on-d-galacto-2017-28522898.md
cordycepin-3-deoxyadenosine-attenuates-age-relat-2012-23000874,Cordycepin (3'-deoxyadenosine) attenuates age-related oxidative stress and ameliorates antioxidant capacity in rats.,2012,animal,C_animal,10.1016/j.exger.2012.09.003,content/research/cordycepin-3-deoxyadenosine-attenuates-age-relat-2012-23000874.md
lipid-lowering-effect-of-cordycepin-3-deoxyadeno-2011-21882527,Lipid-lowering effect of cordycepin (3'-deoxyadenosine) from Cordyceps militaris on hyperlipidemic hamsters and rats.,2011,animal,C_animal,,content/research/lipid-lowering-effect-of-cordycepin-3-deoxyadeno-2011-21882527.md
